Price (TL),Room,Size (m²),Building Age,City,District,Neighborhood,Room_Numeric
25000,2+1,80,45.0,Ankara,Çankaya,Maltepe Mah.,3
22000,2+1,105,45.0,Ankara,Çankaya,100. Yıl Mah.,3
29500,1+1,45,2.0,Ankara,Çankaya,Gaziosmanpaşa Mah.,2
21500,2+1,80,40.0,Ankara,Çankaya,Çamlıtepe Mah.,3
32000,1+1,98,14.461538461538462,Ankara,Yenimahalle,Emniyet Mah.,2
28000,3+1,125,28.0,Ankara,Çankaya,Aşağı Öveçler Mah.,4
50000,3+2,187,2.8,Ankara,Keçiören,Ovacık Mah.,5
20000,Stüdyo,50,15.0,Ankara,Çankaya,İşçi Blokları Mah.,1
31000,2+1,80,3.0,Ankara,Yenimahalle,Ergazi Mah.,3
38000,2+1,75,31.772727272727273,Ankara,Çankaya,Emek Mah.,3
13000,3+1,130,17.0,Ankara,Keçiören,Bağlarbaşı Mah.,4
20000,3+1,110,45.0,Ankara,Altındağ,Aydınlıkevler Mah.,4
15400,2+1,100,45.0,Ankara,Altındağ,Aydınlıkevler Mah.,3
29000,3+1,120,38.0,Ankara,Çankaya,Ayrancı Mah.,4
15000,3+1,125,21.0,Ankara,Sincan,Akşemsettin Mah.,4
30000,3+1,135,35.0,Ankara,Çankaya,İlkadım Mah.,4
16000,3+1,120,7.0,Ankara,Keçiören,Şehit Kubilay Mah.,4
32000,3+1,140,17.0,Ankara,Çankaya,Aşağı Öveçler Mah.,4
31000,3+1,125,31.0,Ankara,Çankaya,İşçi Blokları Mah.,4
24000,3+1,135,25.0,Ankara,Çankaya,Harbiye Mah.,4
18500,3+1,120,15.0,Ankara,Etimesgut,Süvari Mah.,4
27000,1+1,82,8.625,Ankara,Çankaya,Beytepe Mah.,2
13000,3+1,145,12.375,Ankara,Mamak,Zirvekent Mah.,4
40000,1+1,55,28.733333333333334,Ankara,Çankaya,Maltepe Mah.,2
16000,1+1,65,33.0,Ankara,Etimesgut,Eryaman Mah.,2
17000,3+1,115,29.0,Ankara,Yenimahalle,Ergazi Mah.,4
23000,2+1,100,45.0,Ankara,Yenimahalle,Emniyet Mah.,3
15000,2+1,90,16.0,Ankara,Yenimahalle,Tepealtı Mah.,3
18500,2+1,75,40.0,Ankara,Çankaya,Emek Mah.,3
37500,3+1,95,2.0,Ankara,Çankaya,Anıttepe Mah.,4
13500,1+1,45,4.0,Ankara,Çubuk,Dumlupınar Mah.,2
15000,3+1,120,27.0,Ankara,Sincan,Ulubatlı Hasan Mah.,4
18000,3+1,115,25.0,Ankara,Keçiören,Çiçekli Mah.,4
17500,3+1,120,20.0,Ankara,Keçiören,Adnan Menderes Mah.,4
30000,1+1,50,26.7,Ankara,Çankaya,Kazım Özalp Mah.,2
21000,1+1,48,2.375,Ankara,Gölbaşı,İncek Mah.,2
12000,2+1,135,20.0,Ankara,Mamak,General Zeki Doğan Mah.,3
