Price (TL),Room,Size (m²),Building Age,IL,ILCE,Neighborhood
15000,3+1,115,20.0,Ankara,Keçiören,Aşağı Eğlence Mah.
33000,3+1,130,2.0,Ankara,Altındağ,Güneşevler Mah.
15000,2+1,95,40.0,Ankara,Keçiören,Güçlükaya Mah.
15500,2+1,95,35.0,Ankara,Çankaya,Ertuğrulgazi Mah.
17500,3+1,125,6.0,Ankara,Keçiören,Yükseltepe Mah.
30000,3+1,170,20.0,Ankara,Çankaya,Sancak Mah.
32000,3+1,125,29.0,Ankara,Keçiören,Etlik Mah.
22000,3+1,132,11.0,Ankara,Gölbaşı,Eymir Mah.
31000,3+1,150,15.0,Ankara,Çankaya,Cevizlidere Mah.
21000,3+1,110,30.0,Ankara,Çankaya,İlkadım Mah.
12000,3+1,145,3.0,Ankara,Sincan,Alcı Mah.
19000,2+1,92,24.0,Ankara,Etimesgut,Tunahan Mah.
19500,2+1,120,8.0,Ankara,Etimesgut,Süvari Mah.
25000,3+0,165,20.0,Ankara,Altındağ,Hacettepe Mah.
15000,3+1,120,15.0,Ankara,Keçiören,Etlik Mah.
24000,3+1,125,25.0,Ankara,Çankaya,Bahçelievler Mah.
17500,3+1,135,8.0,Ankara,Mamak,Fahri Korutürk Mah.
23750,2+1,73,2.0,Ankara,Gölbaşı,İncek Mah.
21000,3+1,130,25.0,Ankara,Keçiören,Aşağı Eğlence Mah.
35000,2+1,90,1.0,Ankara,Çankaya,Büyükesat Mah.
28000,2+1,95,45.0,Ankara,Çankaya,Aziziye Mah.
18500,3+1,125,15.0,Ankara,Etimesgut,İstasyon Mah.
30000,2+1,85,,Ankara,Çankaya,Güvenevler Mah.
22000,2+1,78,19.0,Ankara,Yenimahalle,Gazi Mah.
29000,1+1,60,6.0,Ankara,Etimesgut,Şehit Osman Avcı Mah.
17000,1+1,45,15.0,Ankara,Etimesgut,İstasyon Mah.
32000,3+1,135,36.0,Ankara,Çankaya,Ayrancı Mah.
25000,3+1,80,30.0,Ankara,Çankaya,Emek Mah.
43500,3+1,164,11.0,Ankara,Gölbaşı,İncek Mah.
24000,3+1,115,52.0,Ankara,Çankaya,Kültür Mah.
20000,3+1,105,26.0,Ankara,Çankaya,Huzur Mah.
55000,2+1,132,,Ankara,Yenimahalle,Emniyet Mah.
18000,3+1,100,36.0,Ankara,Çankaya,Umut Mah.
32000,3+1,120,35.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
22000,2+1,85,45.0,Ankara,Çankaya,Yücetepe Mah.
18000,3+1,135,35.0,Ankara,Yenimahalle,Demetgül Mah.
35000,2+1,85,40.0,Ankara,Çankaya,Güvenevler Mah.
15000,3+1,130,15.0,Ankara,Mamak,General Zeki Doğan Mah.
17000,2+1,75,40.0,Ankara,Çankaya,Yıldızevler Mah.
32000,3+1,140,14.0,Ankara,Çankaya,Öveçler Mah.
16000,3+1,110,23.0,Ankara,Sincan,Selçuklu Mah.
18500,3+1,125,13.0,Ankara,Etimesgut,Topçu Mah.
12000,2+1,95,20.0,Ankara,Mamak,Bahçelerüstü Mah.
25000,2+1,120,55.0,Ankara,Çankaya,Ayrancı Mah.
13000,2+1,95,11.0,Ankara,Etimesgut,Yapracık Mah.
30000,3+1,125,32.0,Ankara,Çankaya,Bahçelievler Mah.
28000,2+1,110,23.0,Ankara,Çankaya,100. Yıl Mah.
30000,4+1,180,11.0,Ankara,Çankaya,Aşıkpaşa Mah.
15750,3+1,135,6.0,Ankara,Keçiören,Şehit Kubilay Mah.
38000,3+1,130,49.0,Ankara,Çankaya,Güvenevler Mah.
47000,4+1,165,25.0,Ankara,Çankaya,Çukurambar Mah.
10000,3+1,105,38.0,Ankara,Yenimahalle,Karşıyaka Mah.
