Title,Price (TL),Date,Location,Room,Size (m²),Building Age,Floor,Link,Page,Price per m² (TL)
"100 Square Meters Apartment For Rent in Çankaya, Ankara",20000,17-03-2025,Ankara / Çankaya / Mimar Sinan Mah.,2+1,100,25.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-mimar-sinan-kiralik/daire/56007-3090,4,200.0
"120 Square Meters Apartment For Rent in Çankaya, Ankara",25000,04-03-2025,Ankara / Çankaya / Yukarı Bahçelievler Mah.,3+1,120,25.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-yukari-bahcelievler-kiralik/daire/8970-1212,4,208.33333333333334
"240 Square Meters Apartment For Rent in Çankaya, Ankara",86000,25-02-2025,Ankara / Çankaya / Yıldızevler Mah.,4+1,240,15.0,Middle,https://www.hepsiemlak.com/en/ankara-cankaya-yildizevler-kiralik/daire/4129-2287,4,358.3333333333333
"100 Square Meters Apartment For Rent in Çankaya, Ankara",24000,21-03-2025,Ankara / Çankaya / Harbiye Mah.,3+1,100,35.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-harbiye-kiralik/daire/44819-2211,4,240.0
"160 Square Meters Apartment For Rent in Yenimahalle, Ankara",30000,22-03-2025,Ankara / Yenimahalle / Pamuklar Mah.,3+1,160,12.0,9.,https://www.hepsiemlak.com/en/ankara-yenimahalle-pamuklar-kiralik/daire/5837-6226,4,187.5
"135 Square Meters Apartment For Rent in Keçiören, Ankara",20900,22-03-2025,Ankara / Keçiören / Şehit Kubilay Mah.,3+1,135,5.0,2.,https://www.hepsiemlak.com/en/ankara-kecioren-sehit-kubilay-kiralik/daire/131987-3148,4,154.8148148148148
"48 Square Meters Apartment For Rent in Gölbaşı, Ankara",32000,22-03-2025,Ankara / Gölbaşı / Taşpınar Mah.,1+1,48,1.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-golbasi-taspinar-kiralik/daire/0-44373679,4,666.6666666666666
"125 Square Meters Apartment For Rent in Sincan, Ankara",15000,22-03-2025,Ankara / Sincan / Osmanlı Mah.,3+1,125,20.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-sincan-osmanli-kiralik/daire/139916-2785,4,120.0
"150 Square Meters Apartment For Rent in Yenimahalle, Ankara",35000,22-03-2025,Ankara / Yenimahalle / Kentkoop Mah.,4+1,150,24.0,4.,https://www.hepsiemlak.com/en/ankara-yenimahalle-kentkoop-kiralik/daire/30353-989,4,233.33333333333334
"95 Square Meters Apartment For Rent in Etimesgut, Ankara",28000,22-03-2025,Ankara / Etimesgut / Elvan Mah.,2+1,95,18.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-etimesgut-elvan-kiralik/daire/131820-1025,4,294.7368421052632
